date,team,score,suf_score,rank,rank_suf,total_points,result,rank_dif,points_by_rank,team_points
2023-03-28,Uzbekistan,1.0,1.0,77.0,55.0,1313.0,2,22.0,0.01818181818181818,1
2023-03-28,Eswatini,0.0,1.0,143.0,72.0,1071.0,1,71.0,0.0,0
2023-03-28,South Korea,1.0,2.0,25.0,16.0,1539.0,1,9.0,0.0,0
2023-03-28,Argentina,7.0,0.0,2.0,86.0,1838.0,0,-84.0,0.03488372093023256,3
2023-03-28,Togo,1.0,1.0,127.0,50.0,1129.0,2,77.0,0.02,1
2023-03-28,Kuwait,2.0,1.0,148.0,108.0,1057.0,0,40.0,0.027777777777777776,3
2023-03-28,Iran,2.0,1.0,24.0,101.0,1552.0,0,-77.0,0.0297029702970297,3
2023-03-28,Scotland,2.0,0.0,42.0,10.0,1477.0,0,32.0,0.3,3
2023-03-28,Turkey,0.0,2.0,44.0,7.0,1465.0,1,37.0,0.0,0
2023-03-28,Comoros,0.0,2.0,129.0,47.0,1123.0,1,82.0,0.0,0
2023-03-28,Mauritania,1.0,1.0,103.0,73.0,1198.0,2,30.0,0.0136986301369863,1
2023-03-28,Botswana,2.0,3.0,149.0,98.0,1054.0,1,51.0,0.0,0
2023-03-28,Libya,0.0,1.0,120.0,30.0,1157.0,1,90.0,0.0,0
2023-03-28,Liberia,1.0,2.0,150.0,67.0,1050.0,1,83.0,0.0,0
2023-03-28,Mozambique,0.0,1.0,114.0,19.0,1164.0,1,95.0,0.0,0
2023-03-28,Malawi,0.0,4.0,124.0,39.0,1145.0,1,85.0,0.0,0
2023-03-28,Wales,1.0,0.0,28.0,133.0,1530.0,0,-105.0,0.022556390977443608,3
2023-03-28,Gambia,1.0,0.0,126.0,45.0,1138.0,0,81.0,0.06666666666666667,3
2023-03-28,Canada,4.0,1.0,53.0,81.0,1432.0,0,-28.0,0.037037037037037035,3
2023-03-28,Switzerland,3.0,0.0,12.0,76.0,1655.0,0,-64.0,0.039473684210526314,3
2023-03-28,Romania,2.0,1.0,52.0,97.0,1433.0,0,-45.0,0.030927835051546393,3
