date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,rank_home,total_points_home,rank_away,total_points_away
2025-10-14,Panama,Suriname,1.0,1.0,FIFA World Cup qualification,Panama City,Panama,False,29.0,1530.0,131.0,1125.0
2025-10-14,El Salvador,Guatemala,0.0,1.0,FIFA World Cup qualification,San Salvador,El Salvador,False,90.0,1268.0,98.0,1231.0
2025-10-14,Curaçao,Trinidad and Tobago,1.0,1.0,FIFA World Cup qualification,Willemstad,Curaçao,False,84.0,1282.0,102.0,1221.0
2025-10-14,Portugal,Hungary,2.0,2.0,FIFA World Cup qualification,Lisbon,Portugal,False,5.0,1780.0,41.0,1492.0
2025-10-14,India,Singapore,1.0,2.0,AFC Asian Cup qualification,Margao,India,False,134.0,1114.0,158.0,1013.0
2025-10-14,Myanmar,Syria,0.0,3.0,AFC Asian Cup qualification,Yangon,Myanmar,False,160.0,1004.0,92.0,1259.0
2025-11-12,Tunisia,Mauritania,1.0,1.0,Friendly,Radès,Tunisia,False,43.0,1491.0,113.0,1179.0
2025-11-12,Russia,Peru,1.0,1.0,Friendly,Saint Petersburg,Russia,False,30.0,1531.0,49.0,1464.0
2025-11-12,Cuba,Saint Lucia,3.0,0.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,169.0,975.0,164.0,991.0
2025-11-12,Dominican Republic,Saint Vincent and the Grenadines,2.0,0.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,False,143.0,1074.0,171.0,962.0
2025-11-12,Antigua and Barbuda,Aruba,0.0,0.0,CONCACAF Series,North Sound,Antigua and Barbuda,False,160.0,992.0,194.0,861.0
2025-11-12,Bahamas,Anguilla,1.0,2.0,CONCACAF Series,George Town,Cayman Islands,True,203.0,807.0,209.0,759.0
2025-11-12,Cayman Islands,British Virgin Islands,1.0,2.0,CONCACAF Series,George Town,Cayman Islands,False,195.0,853.0,208.0,765.0
2025-11-13,Bangladesh,Nepal,2.0,2.0,Friendly,Dhaka,Bangladesh,False,183.0,894.0,180.0,909.0
2025-11-13,Czech Republic,San Marino,1.0,0.0,Friendly,Karviná,Czech Republic,False,44.0,1485.0,210.0,728.0
2025-11-13,Hong Kong,Cambodia,1.0,1.0,Friendly,Hong Kong,Hong Kong,False,148.0,1053.0,179.0,910.0
