home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly
Netherlands,Croatia,1,-1.0,0.0,0.0,1.5,1.5,-0.026888341543513956,65.5,65.5,-0.044448051948051945,-0.044448051948051945,0
Oman,Tajikistan,1,-36.0,1.0,0.7333333333333333,0.5,0.3999999999999999,0.013234121711400482,-30.0,-43.133333333333326,0.017138193034347115,0.018108726702359773,0
Pakistan,Kenya,1,93.0,-1.0,-1.0,0.0,0.0,-0.041666666666666664,144.0,144.0,0.0,0.0,0
Guinea,Egypt,1,44.0,-0.5,-0.5,1.0,1.0,-0.006077606358111266,14.0,14.0,-0.0024544179523141654,-0.0024544179523141654,0
Uzbekistan,Turkmenistan,0,-63.0,1.1666666666666667,1.1666666666666667,-0.6666666666666667,-0.6666666666666667,0.019872515935508064,-57.0,-57.0,0.027367202185509122,0.027367202185509122,0
Costa Rica,Guatemala,1,-77.0,-0.75,-0.75,-0.75,-0.75,-0.008426966292134831,-14.5,-14.5,-0.00267790611028316,-0.00267790611028316,1
Panama,Canada,1,11.0,-1.75,-1.75,0.75,0.75,-0.018863297296192596,-10.25,-10.25,-0.005064895790357488,-0.005064895790357488,0
United States,Mexico,0,-2.0,0.19999999999999996,0.19999999999999996,-0.19999999999999996,-0.19999999999999996,0.00840336134453781,-13.199999999999996,-13.199999999999996,0.003913874714066408,0.003913874714066408,0
Japan,El Salvador,0,-55.0,1.0,1.0,0.5,0.5,0.06060606060606061,-30.5,-30.5,0.03125,0.03125,1
Argentina,Australia,0,-28.0,2.5,2.5,-1.5,-1.5,0.012444001991040315,32.5,32.5,0.005446658545883977,0.005446658545883977,1
Jamaica,Qatar,1,2.0,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,-0.6666666666666667,-0.004484304932735427,0.0,0.0,0.02066544566544567,0.02066544566544567,1
Philippines,Nepal,0,-38.0,-1.6666666666666667,-1.6666666666666667,2.3333333333333335,2.3333333333333335,-0.008944543828264758,-70.33333333333334,-70.33333333333334,-0.012496988967577205,-0.012496988967577205,1
Vietnam,Hong Kong,0,-52.0,0.8333333333333333,0.8333333333333333,-0.5,-0.5,0.007445172065222169,-28.16666666666667,-28.16666666666667,0.006500519559294394,0.006500519559294394,1
Spain,Italy,0,2.0,0.0,0.0,0.0,0.0,0.017852257181942544,-43.5,-43.5,0.025901685002088844,0.025901685002088844,0
Honduras,Venezuela,1,25.0,-0.5,-0.5,1.0,1.0,-0.008061492313460816,0.5,0.5,-0.016835481121195407,-0.016835481121195407,1
Chile,Dominican Republic,0,-120.0,1.0,1.0,1.0,1.0,0.017072382593709606,-70.5,-70.5,0.024654150197628455,0.024654150197628455,1
Colombia,Iraq,0,-50.0,-1.0666666666666667,-1.0666666666666667,0.0,0.0,0.03696551724137931,-55.66666666666667,-55.66666666666667,0.054833357119071405,0.054833357119071405,1
South Korea,Peru,1,6.0,1.5,1.5,1.0,1.0,0.09090909090909091,4.0,4.0,-0.016042780748663103,-0.016042780748663103,1
Poland,Germany,0,9.0,-1.3333333333333335,-1.3333333333333335,-0.5,-0.5,-0.10804195804195806,33.66666666666667,33.66666666666667,-0.036002886002885995,-0.036002886002885995,1
Gibraltar,France,1,199.0,-2.5,-2.5,3.0,3.0,-0.09259259259259259,1.5,1.5,-0.28125,-0.28125,0
Curaçao,Saint Kitts and Nevis,1,-51.0,-2.0,-2.0,3.0,3.0,-0.009900990099009901,-170.66666666666666,-170.66666666666666,-0.006304476601506305,-0.006304476601506305,0
Malta,England,1,167.0,-1.3333333333333335,-1.3333333333333335,0.8333333333333333,0.8333333333333333,-0.1054519368723099,37.666666666666664,37.666666666666664,-0.23420329670329673,-0.23420329670329673,0
Greece,Republic of Ireland,0,3.0,0.0,0.0,-1.5,-1.5,-0.013337893296853627,104.0,104.0,-0.00030597326649958213,-0.00030597326649958213,0
Serbia,Jordan,0,-59.0,-2.0,-2.0,0.3333333333333333,0.3333333333333333,-0.0033020737022850313,-58.66666666666667,-58.66666666666667,0.07597221528921724,0.07597221528921724,1
Kyrgyzstan,Iran,1,72.0,-2.5,-2.5,0.5,0.5,-0.026943138643827677,34.83333333333333,34.83333333333333,-0.022216957923194402,-0.022216957923194402,0
North Macedonia,Ukraine,1,35.0,0.0,0.0,-2.0,-2.0,-0.14754990925589836,135.5,135.5,-0.01453712783492249,-0.01453712783492249,0
Latvia,Turkey,1,89.0,0.0,0.0,0.5,0.5,0.006707946336429307,-13.0,-13.0,-0.015789473684210527,-0.015789473684210527,0
Finland,Slovenia,0,-3.0,-1.5,-1.5,1.0,1.0,-0.002700560659876127,-110.75,-110.75,-0.007440618593426394,-0.007440618593426394,0
Wales,Armenia,1,-71.0,-0.5,-0.5,-1.5,-1.5,-0.005194805194805195,-7.0,-7.0,0.07816131237183868,0.07816131237183868,0
Andorra,Switzerland,1,141.0,-3.5,-3.5,1.5,1.5,-0.03995346639037336,-7.0,-7.0,-0.03052786243477467,-0.03052786243477467,0
